speciescode,speciename
tawowl3,Strix mauritanica
ceymyn1,Gracula ptilogenys
arrcha1,Dessonornis archeri
bufscr1,Aethomyias perspicillatus
dugant1,Herpsilochmus dugandi
buryuh1,Yuhina humilis
bacori3,Oriolus cruentus
gyhsun1,Deleornis axillaris
necstp1,Fregetta lineata
nosdwk1,Ceyx meeki
satbow1,Ptilonorhynchus violaceus
pasowl2,Otus fuliginosus
kauama,Chlorodrepanis stejnegeri
kopkin1,Tanysiptera ellioti
berpip1,Anthus berthelotii
gyhspi1,Cranioleuca semicinerea
compea,Pavo cristatus
leahon2,Indicator exilis
ornmel1,Melidectes torquatus
pagcus1,Edolisoma ceramense
ortdov,Streptopelia orientalis
jamela1,Myiopagis cotta
sathum1,Chrysuronia coeruleogularis
brolga1,Antigone rubicunda
grpeag1,Pithecophaga jefferyi
grcfly3,Humblotia flavirostris
rufcas2,Casiornis rufus
blwsal1,Saltator atripennis
rufcis1,Cisticola rufus
antpet1,Thalassoica antarctica
wemcha1,Ortalis poliocephala
hubtyr1,Knipolegus hudsoni
wbptyr1,Myiornis albiventris
karapa3,Apalis stronachi
blaoys1,Haematopus ater
pahjac1,Brachygalba goeringi
easmog6,Arizelocichla neumanni
brhgre1,Hylophilus brunneiceps
refros1,Carpodacus puniceus
andsol1,Myadestes ralloides
spoant1,Hylophylax naevioides
apowre1,Cistothorus apolinari
chisha1,Leucocarbo onslowi
strwoo,Dryobates stricklandi
smbkin1,Alcedo coerulescens
dulgua1,Penelope obscura
brthum,Selasphorus platycercus
thbpar,Rhynchopsitta pachyrhyncha
watrai1,Rallus aquaticus
palcoc1,Probosciger aterrimus
gotsap1,Chrysuronia oenone
grtkne1,Esacus recurvirostris
yebwar2,Phylloscopus montis
cbslar1,Eremopterix leucotis
grablu1,Spermophaga poliogenys
litkin1,Ceyx pusillus
wlwwar,Phylloscopus trochilus
sictre1,Certhia tianquanensis
souboo6,Ninox plesseni
blfsan1,Pterocles decoratus
whfcha1,Epthianura albifrons
butpuf1,Haplophaedia assimilis
bkcspa1,Arremon abeillei
strflu1,Sarothrura affinis
feonig1,Aegotheles insignis
gyhfie1,Icthyophaga ichthyaetus
cibfan1,Rhipidura superflua
nebgos1,Tachyspiza princeps
apapan2,Himatione fraithii
hirwar1,Acrocephalus taiti
reftin1,Pogoniulus uropygialis
semrob1,Copsychus sechellarum
brihon1,Bolemoreus frenatus
capspa1,Passer melanurus
specha4,Ortalis squamata
junbab2,Argya striata
madjac1,Actophilornis albinucha
turwar1,Acrocephalus atyphus
norshr1,Lanius excubitor
nconig1,Aegotheles savesi
rctspi1,Leptasthenura pileata
taibeg1,Anser fabalis
salnig1,Caprimulgus pulchellus
blhapa1,Apalis melanocephala
watsta1,Creatophora cinerea
fepbat1,Batis poensis
orrwar1,Acrocephalus orientalis
lobtai1,Artisornis moreaui
crifin1,Neochmia phaeton
cocboo1,Sula brewsteri
dierai1,Gallirallus dieffenbachii
bolspi1,Cranioleuca henricae
norpar,Setophaga americana
supowl1,Glaucidium parkeri
chacis1,Cisticola anonymus
pacswa5,Hirundo tahitica
perpel1,Pelecanus thagus
whpant1,Pithys albifrons
gygbus1,Chlorophoneus bocagei
azwmag3,Cyanopica cooki
soptit1,Anthoscopus minutus
yebcra1,Laterallus flaviventer
indbus3,Plocealauda erythrocephala
whhpet1,Pterodroma lessonii
lottit1,Aegithalos caudatus
blhlap1,Vanellus tectus
berfli1,Colaptes oceanicus
mcclon,Rhynchophanes mccownii
whttou1,Ramphastos tucanus
spbfan1,Rhipidura albogularis
johsun2,Cinnyris johannae
euptit1,Remiz pendulinus
kincal1,Calyptura cristata
crbfin1,Rhodospingus cruentus
grnher,Butorides virescens
mouser2,Chrysocorythus estherae
rinphe1,Phasianus colchicus
sirmal1,Taccocua leschenaultii
mouela1,Elaenia frantzii
chutap2,Scytalopus parkeri
cretre1,Hemiprocne coronata
ruftre2,Dendrocitta vagabunda
chfbab1,Zosterornis whiteheadi
crhman1,Pipra aureola
whwflu1,Sarothrura ayresi
scnpar1,Amazona mercenarius
bimlar1,Melanocorypha bimaculata
yebtea1,Anas flavirostris
ruwant4,Herpsilochmus rufimarginatus
plctyr1,Phyllomyias plumbeiceps
visfan1,Rhipidura albiventris
pohfly1,Myiagra pluto
dowant1,Microrhopias quixensis
chewoo2,Celeus elegans
sahpar2,Loriculus catamene
wfwduc1,Dendrocygna viduata
pavque1,Pharomachrus pavoninus
rivwre1,Cantorchilus semibadius
brfwoo1,Dendrocoptes auriceps
supwre1,Cantorchilus superciliaris
pampig2,Gymnophaps albertisii
ruvpri1,Laticilla burnesii
bicflo1,Dicaeum bicolor
whctur1,Menelikornis leucotis
larnil1,Niltava grandis
yucjay1,Cyanocorax yucatanicus
bcwwar1,Phylloscopus herberti
chbmoc1,Mimus saturninus
ibesee1,Sporophila iberaensis
blbcap1,Tetrao urogalloides
belmin1,Manorina melanophrys
pyrrhu,Cardinalis sinuatus
phhcuc1,Hierococcyx pectoralis
cregui4,Guttera edouardi
railor6,Trichoglossus rosenbergii
nehmun1,Lonchura nigerrima
wrihor1,Rhabdotorrhinus corrugatus
susowl1,Otus manadensis
stbkin1,Pelargopsis capensis
bubbab1,Pellorneum tickelli
asgsta1,Aplonis panayensis
suncuc2,Cuculus lepidus
spbwoo2,Dendropicos poecilolaemus
timstu1,Urosphena subulata
whwblt3,Melaniparus leucomelas
fiswoo1,Campethera punctuligera
scathr6,Zoothera major
grcdov1,Leptotila cassinii
brttho1,Chalcostigma heteropogon
veldov1,Ptilinopus layardi
timcic1,Edolisoma timoriense
tawant3,Grallaria quitensis
zendov,Zenaida aurita
sicfri1,Philemon argenticeps
blufin1,Rhopospina caerulescens
pedsno1,Pyrgilauda davidiana
sthwhe1,Heleia squamiceps
fotpyt1,Hemitriccus furcatus
chfhel1,Prionops scopifrons
flicor1,Nannopterum harrisi
tepspi1,Cranioleuca demissa
swagoo1,Anser cygnoides
spwpig3,Patagioenas maculosa
ritast1,Astrapia mayeri
gbmgem1,Lampornis sybillae
blaant4,Cercomacroides nigrescens
somsta1,Onychognathus blythii
bramar1,Phedinopsis brazzae
orblea1,Chloropsis hardwickii
kersha1,Leucocarbo verrucosus
bowsht1,Colluricincla boweri
spetet1,Xanthomixis zosterops
indyuh1,Staphida torqueola
bacfan1,Rhipidura nigrocinnamomea
snbnut1,Sitta villosa
bubrai1,Gallirallus philippensis
rehlov1,Agapornis pullarius
ruwtyr1,Mecocerculus calopterus
humwhe2,Oenanthe albonigra
batbar1,Threnetes ruckeri
blnpar1,Tanygnathus lucionensis
patpar1,Psittacella picta
pursun3,Leptocoma zeylonica
taihwa1,Garrulax taewanus
rubspi2,Synallaxis erythrothorax
commer,Mergus merganser
tarbab1,Rhopophilus albosuperciliaris
vioeup1,Euphonia violacea
wooant1,Parmoptila woodhousei
spocra2,Zapornia tabuensis
crfant1,Grallaricula lineifrons
grkfin,Rhodacanthis palmeri
blypip1,Anthus godlewskii
gowbar2,Psilopogon chrysopogon
gobeup1,Euphonia chrysopasta
swatan1,Tersina viridis
ronwaa1,Hypocnemis ochrogyna
bltjay1,Cyanolyca pumilo
forthr1,Turdus lherminieri
gresca,Aythya marila
glopuf2,Eriocnemis vestita
whwpic1,Picumnus albosquamatus
pacrob3,Petroica polymorpha
eurnut6,Sitta arctica
yelhon1,Stomiopera flava
chnpar3,Tropicoperdix graydoni
sabspi1,Rhaphidura sabini
baffal1,Micrastur ruficollis
pywbab1,Pnoepyga pusilla
minwhe1,Heleia goodfellowi
sibthr1,Geokichla sibirica
mccfin1,Saltatricula multicolor
sttspi2,Leptasthenura striolata
rebbrt1,Talegalla cuvieri
sthhon1,Pycnopygius stictocephalus
woolar1,Lullula arborea
yevbul1,Pycnonotus goiavier
saptyr1,Pogonotriccus paulista
plcela1,Elaenia cristata
shtpip1,Anthus brachyurus
palfro1,Batrachostomus chaseni
stocis1,Cisticola robustus
rufcan1,Asthenes ottonis
bostib1,Mixornis bornensis
rbbwea1,Bubalornis niger
bubgro1,Cyanoloxia cyanoides
grewar2,Phylloscopus plumbeitarsus
grbhon1,Glycichaera fallax
whrsha17,Copsychus barbouri
gyfbuz1,Butastur indicus
slbgre1,Stelgidillas gracilirostris
wqrpig1,Petrophassa albipennis
brbpuf1,Notharchus ordii
brnhao3,Ninox obscura
gntbri1,Bleda eximius
rubcon1,Conirostrum rufum
spobam1,Psilorhamphus guttatus
rubspi3,Synallaxis zimmeri
bkfbun1,Emberiza spodocephala
ashwoo2,Artamus fuscus
muslor1,Trichoglossus concinnus
ansgre1,Eurillas ansorgei
chhpar1,Arborophila cambodiana
kea1,Nestor notabilis
wfweye1,Platysteira albifrons
tawgra2,Cincloramphus macrurus
blttit1,Tityra cayana
purswa5,Porphyrio pulverulentus
pregrs1,Melozone biarcuata
houswi1,Apus nipalensis
knohor1,Rhyticeros cassidix
gybshr1,Lanius tephronotus
nabtod1,Todus angustirostris
sahpar1,Pyrilia pyrilia
pygswi1,Tachornis furcata
refpar4,Cyanoramphus novaezelandiae
stwqua1,Odontophorus stellatus
cicada5,Edolisoma nesiotis
mouavo1,Opisthoprora euryptera
whbyuh1,Erpornis zantholeuca
blbbut1,Cracticus mentalis
whbher3,Phaethornis stuarti
bayant1,Grallaria capitalis
casplo1,Anarhynchus asiaticus
vigswa,Tachycineta thalassina
javful1,Alcippe pyrrhoptera
indflo1,Diglossa indigotica
cotsun2,Leptocoma calcostetha
lcspet,Hydrobates leucorhous
bncwoo2,Yungipicus moluccensis
bncfly,Myiarchus tyrannulus
obfgle3,Automolus infuscatus
sthbrf4,Arremon basilicus
ocbant1,Grallaricula flavirostris
sqtkit1,Lophoictinia isura
soorob1,Turdus nigrescens
brbswa1,Orochelidon murina
reswar1,Curruca leucomelaena
phipar1,Alectoris philbyi
graori1,Icterus dominicensis
bumhum,Selasphorus heloisa
sibcra1,Leucogeranus leucogeranus
bkctch1,Tchagra senegalus
spjbab1,Ptilorrhoa leucosticta
rebmou1,Colius castanotus
norfan1,Rhipidura rufiventris
bocaka11,Sheppardia bocagei
gopwea1,Ploceus bojeri
turcot1,Cotinga ridgwayi
tansee1,Crithagra melanochroa
slathr2,Turdus nigriceps
gybflo1,Diglossa carbonaria
gocbab1,Sterrhoptilus dennistouni
whwsco1,Melanitta stejnegeri
cinvul1,Aegypius monachus
blcbar1,Lybius torquatus
snttyr2,Hemitriccus striaticollis
baweye2,Zosterops vellalavella
rehfin1,Amadina erythrocephala
barhon2,Gliciphila undulata
blfsol1,Myadestes melanops
capcro2,Corvus capensis
rubhel1,Prionops rufiventris
rdjant1,Cercomacra brasiliana
macbow2,Amblyornis macgregoriae
rerwhe1,Oenanthe moesta
whvsha1,Copsychus niger
ventro1,Icterus icterus
gonbar1,Psilopogon pulcherrimus
anawax1,Estrilda poliopareia
guigna4,Polioptila paraensis
ecupie1,Phlogophilus hemileucurus
toogre1,Phyllastrephus hypochloris
chbtho1,Phacellodomus dorsalis
chbplo1,Anarhynchus pallidus
spwgoo1,Plectropterus gambensis
olbeup1,Euphonia gouldi
antspi1,Leptasthenura andicola
spbduc,Anas zonorhyncha
grhkit1,Leptodon cayanensis
greyel,Tringa melanoleuca
eluant1,Grallaria eludens
eurbla,Turdus merula
rubmin1,Geositta rufipennis
higela2,Elaenia obscura
gbbgul,Larus marinus
parpet1,Procellaria parkinsoni
spepet1,Procellaria conspicillata
capbul1,Pycnonotus capensis
shbcro1,Sylvietta philippae
nigwre1,Microcerculus philomela
buthum,Lampornis clemenciae
yelbit,Botaurus sinensis
migwar,Helopsaltes ochotensis
prisun2,Anabathmis hartlaubii
chespa1,Passer eminibey
spodov,Spilopelia chinensis
asistu1,Urosphena squameiceps
martea1,Marmaronetta angustirostris
easmah2,Circus spilothorax
tamcro,Corvus imparatus
scbeat1,Merops nubicoides
upmtap1,Scytalopus rodriguezi
mouwre2,Pheugopedius genibarbis
gloibi,Plegadis falcinellus
antpic1,Nesoctites micromegas
palbat1,Batis soror
brqdov1,Geotrygon mystacea
wardor1,Pseudocolopteryx flaviventris
lotwoo3,Deconychura typica
pipcis2,Cisticola fulvicapilla
upcwar1,Hippolais languida
rbsrob1,Cercotrichas leucophrys
blhhon1,Melithreptus affinis
baywre1,Cantorchilus nigricapillus
wheslf1,Melaenornis fischeri
pespar1,Psittrichas fulgidus
capcro1,Sylvietta rufescens
redmyz2,Myzomela cruentata
sttful1,Fulvetta cinereiceps
paltyr4,Zimmerius improbus
bubwar1,Phylloscopus pulcher
bkbmyz1,Myzomela vulnerata
ruwbri1,Heliodoxa branickii
bfgtyr1,Muscisaxicola frontalis
atlpuf,Fratercula arctica
spogre1,Ixonotus guttatus
rbifin1,Incaspiza personata
thlsch4,Schiffornis stenorhyncha
rubant5,Grallaricula ferrugineipectus
mickin5,Todiramphus reichenbachii
bludac1,Dacnis cayana
railor8,Trichoglossus weberi
plwant2,Myrmotherula behni
arfcat1,Ailuroedus arfakianus
braswi1,Apus bradfieldi
pbmtou1,Andigena laminirostris
lobspi1,Arachnothera robusta
preswa2,Petrochelidon preussi
uvbsun1,Anthreptes neglectus
pebfin1,Acanthidops bairdi
maufod1,Foudia rubra
rucswa2,Cecropis semirufa
bkwsti,Himantopus himantopus
gowpar2,Brotogeris chrysoptera
whfman1,Lepidothrix serena
strtho1,Acanthiza lineata
whcgua1,Penelope pileata
libeat1,Merops pusillus
scblor1,Trichoglossus chlorolepidotus
itaspa1,Passer italiae
eurhob,Falco subbuteo
andpar1,Bolborhynchus orbygnesius
ruvwar2,Curruca subcoerulea
puvill1,Illadopsis puveli
rufcra2,Laterallus levraudi
whcpin,Anas bahamensis
takahe2,Porphyrio mantelli
blhhem1,Pseudospingus verticalis
wsweye1,Dyaphorophyia tonsa
mohsco1,Otus moheliensis
yecman2,Heterocercus flavivertex
talkin1,Todiramphus enigma
medgul1,Ichthyaetus melanocephalus
reepar1,Pyrrhura hoematotis
yellow5,Ceuthmochares aereus
strpuf1,Nystalus striolatus
thamno2,Thamnornis chloropetoides
fuhtan1,Thlypopsis fulviceps
manwaa1,Hypocnemis rondoni
rekcoo1,Fulica cristata
cucara1,Pteroglossus beauharnaisii
ellwoo1,Dendropicos elliotii
aplfal,Falco femoralis
blypaf1,Terpsiphone affinis
moukin2,Actenoides bougainvillei
wynlau1,Pterorhinus delesserti
rubacc1,Prunella strophiata
rubkin1,Ceyx rufidorsa
puteup1,Euphonia chlorotica
lowant1,Myrmotherula longipennis
grothr2,Turdus simensis
torimp1,Ducula spilorrhoa
marwar2,Acrocephalus mendanae
phibul1,Hypsipetes philippinus
zimtap1,Scytalopus zimmeri
stedov1,Chalcophaps stephani
hodred1,Phoenicurus hodgsoni
rook1,Corvus frugilegus
eyrfla1,Rhynchocyclus brevirostris
nutfly,Myiarchus nuttingi
auisha1,Leucocarbo colensoi
afcdov1,Streptopelia roseogrisea
sulowl1,Tyto rosenbergii
whbant4,Myrmoderus loricatus
spwmon1,Symposiachrus guttula
rbwbab1,Gypsophila rufipectus
pertap1,Scytalopus perijanus
strwea1,Ploceus alienus
rutant3,Epinecrophylla erythrura
whrtan1,Cypsnagra hirundinacea
bahant1,Herpsilochmus pileatus
silver1,Empidornis semipartitus
whchor1,Horizocerus albocristatus
gyhsif1,Phrygilus gayi
olrser1,Crithagra rothschildi
refcou1,Coua reynaudii
crefir5,Lophura erythrophthalma
riflem1,Acanthisitta chloris
bwgdov1,Metriopelia melanoptera
comduc2,Sarkidiornis melanotos
tylwar1,Phylloscopus tytleri
whbgui1,Agelastes meleagrides
chbtou1,Ramphastos vitellinus
taweag1,Aquila rapax
helman1,Chiroxiphia galeata
ansowl2,Otus capnodes
brvear1,Colibri delphinae
sacwhe1,Zosterops sanctaecrucis
gryhon1,Conopophila whitei
y00475,Fulica americana
rebkin2,Todiramphus pyrrhopygius
torcro2,Corvus orru
whfred2,Myioborus albifrons
ganlew1,Phylloscopus kansuensis
bawcow3,Agelaioides fringillarius
greant1,Taraba major
rufwhi1,Pachycephala rufiventris
greshe,Ardenna gravis
rufwar1,Abroscopus albogularis
yucvir,Vireo magister
litshr1,Colluricincla obscura
oretho1,Phacellodomus erythrophthalmus
unijay1,Aphelocoma unicolor
chwhoo1,Ancistrops strigilatus
whiwar1,Catharopeza bishopi
ccfgle1,Clibanornis rectirostris
comcic19,Edolisoma pelingi
gowqua1,Odontophorus strophium
muswre2,Cyphorhinus arada
ecuhil1,Oreotrochilus chimborazo
sanpar1,Ammoperdix heyi
wincis6,Cisticola lugubris
ancdov1,Macropygia rufipennis
madgre1,Tachybaptus pelzelnii
belspa2,Artemisiospiza belli
cowpar1,Brotogeris cyanoptera
fushon1,Ptilotula fusca
eaowar2,Curruca crassirostris
tbgdov1,Pampusana salamonis
itonig1,Caprimulgus prigoginei
chbhum1,Saucerottia castaneiventris
colbab1,Gampsorhynchus torquatus
cupowl1,Glaucidium siju
strgra1,Megalurus palustris
isipig1,Ducula pistrinaria
trithr1,Turdus eremita
wesple1,Crinifer piscator
baemyn1,Streptocitta albertinae
whbsha1,Copsychus luzoniensis
blfred1,Phoenicurus frontalis
eursis,Spinus spinus
carpar1,Parotia carolae
grswoo,Dendrocopos major
stabus1,Neotis denhami
brnboo,Sula leucogaster
slbcht2,Ochthoeca cinnamomeiventris
compoc,Aythya ferina
besbab1,Pteruthius melanotis
whsfai1,Malurus alboscapulatus
chetea1,Anas castanea
nezqua1,Coturnix novaezelandiae
kerpet,Pterodroma neglecta
geppar1,Micropsitta geelvinkiana
chwsta1,Onychognathus fulgidus
blclor1,Lorius lory
mouwhe1,Myrmecocichla monticola
grejun1,Gallus varius
collor1,Vini solitaria
whnhon2,Melithreptus lunatus
purspi,Spindalis portoricensis
grefla3,Phoenicopterus roseus
smbtyr2,Myiotheretes fumigatus
tstlar1,Alaudala heinei
noipar1,Cyanoramphus cookii
lobgna5,Ramphocaenus melanurus
atosta1,Aplonis feadensis
ortbun1,Emberiza hortulana
mawqua1,Odontophorus gujanensis
bkcbul1,Rubigula gularis
gockin,Regulus satrapa
eaywag,Motacilla tschutschensis
lesbri3,Bleda ugandae
bucred1,Phoenicurus coeruleocephala
lalbru1,Coryphistera alaudina
fbfeye1,Pyriglena atra
yebant2,Herpsilochmus axillaris
viswar1,Cryptillas victorini
nicscr1,Megapodius nicobariensis
lafpic1,Picumnus lafresnayi
whbcin1,Cinclodes palliatus
redcro9,Loxia sinesciuris
imispa1,Tachyspiza imitator
barhaw1,Morphnarchus princeps
indvul1,Gyps indicus
whcjay2,Cyanolyca viridicyanus
whbhel1,Oxypogon lindenii
blkvul,Coragyps atratus
orfbar1,Capito squamatus
meelor1,Vini meeki
piblar1,Spizocorys conirostris
whoswa,Cygnus cygnus
paltyr3,Zimmerius parvus
permet1,Metallura iracunda
ninpar1,Poicephalus crassus
manduc,Aix galericulata
whbfie9,Pyriglena similis
datthr1,Turdus atrogularis
whcale1,Chamaetylas fuelleborni
misowl1,Otus mirus
whcnut1,Sitta leucopsis
hoopoe,Upupa epops
sthant2,Grallaria andicolus
gybsee1,Thinocorus orbignyianus
paltyr2,Zimmerius vilissimus
splast1,Astrapia splendidissima
souboo3,Ninox leucopsis
purtod1,Todus mexicanus
dusfri1,Philemon fuscicapillus
bwrtai1,Prioniturus verticalis
sosowl1,Otus ireneae
spokin1,Actenoides lindsayi
rtrthr1,Monticola saxatilis
balwar1,Curruca balearica
swapri1,Laticilla cinerascens
rabgro1,Periporphyrus erythromelas
cubmac1,Ara tricolor
sbmtan1,Anisognathus igniventris
brufly1,Pyrocephalus nanus
ruhcha1,Ortalis erythroptera
aniani,Magumma parva
norgrd1,Pampusana norfolkensis
eacgos1,Melierax poliopterus
manmon1,Symposiachrus infelix
bbsrob1,Cercotrichas hartlaubi
helcur1,Pauxi pauxi
hadibi1,Bostrychia hagedash
yeboxy1,Crossleyia xanthophrys
duslar1,Pinarocorys nigricans
whedov1,Phapitreron leucotis
blwlap1,Vanellus melanopterus
gocspa,Zonotrichia atricapilla
cubeme1,Riccordia ricordii
whnmon1,Carterornis pileatus
perboo1,Sula variegata
ocftap1,Eugralla paradoxa
finfra2,Scleroptila finschi
audgul1,Ichthyaetus audouinii
oligre1,Hylophilus olivaceus
chbsta1,Lamprotornis pulcher
amabaw1,Dendrocolaptes certhia
manpit1,Pitta megarhyncha
orefly1,Tolmomyias traylori
plapri1,Prinia inornata
redkit1,Milvus milvus
reusto1,Saxicola tectes
nartap2,Scytalopus vicinior
nebhao1,Ninox odiosa
necnig1,Caprimulgus solala
scbtan1,Chlorospingus pileatus
houwre11,Troglodytes grenadensis
caneme1,Cynanthus canivetii
cinbec1,Pachyramphus cinnamomeus
gobsta5,Lamprotornis regius
battre1,Certhia himalayana
radacc2,Prunella ocularis
cubgra,Phonipara canora
faseag1,Circaetus fasciolatus
drbhor1,Tockus damarensis
cricha1,Epthianura tricolor
buclau1,Pterorhinus courtoisi
wtcfly1,Elminia albonotata
taiscb1,Pomatorhinus musicus
gytbab1,Stachyris nigriceps
kineid,Somateria spectabilis
norscr1,Chauna chavaria
grywrw1,Calamonastes simplex
soashe1,Tadorna cana
subfly5,Cyornis kalaoensis
gntsun1,Chalcomitra rubescens
dorcis1,Cisticola guinea
luzhor1,Penelopides manillae
bufpip1,Anthus vaalensis
strros1,Carpodacus rubicilloides
hoogre1,Podiceps gallardoi
phiduc1,Anas luzonica
pucwoo1,Myrtis fanny
masapa1,Apalis binotata
vibsta1,Acridotheres burmannicus
rufgna2,Conopophaga cearae
bongro1,Carpodacus ferreorostris
indbun,Passerina cyanea
indcuc1,Cuculus micropterus
jamori1,Icterus leucopteryx
yebbar2,Trachyphonus margaritatus
moutro1,Trogon mexicanus
madflu1,Sarothrura insularis
jamman1,Anthracothorax mango
narfly3,Ficedula owstoni
rdjant2,Myrmotherula fluminensis
mancic1,Edolisoma admiralitatis
sittan1,Tangara icterocephala
masfru1,Pipreola pulchra
lessap1,Anarhynchus atrifrons
bubkin2,Alcedo euryzona
leswhi4,Curruca curruca
rubtre1,Thripadectes scrutator
gnbger1,Gerygone chloronota
scamin3,Pericrocotus flammeus
blcsis2,Spinus barbatus
forrav1,Corvus tasmanicus
sponig1,Eurostopodus argus
reepar3,Paradoxornis heudei
strshe,Calonectris leucomelas
maswhe3,Zosterops mauritianus
rutfly2,Terenotriccus erythrurus
whbspi2,Hellmayrea gularis
giaant1,Grallaria gigantea
brwjac1,Metopidius indicus
spwqua1,Odontophorus guttatus
madsan1,Pterocles personatus
galpen1,Spheniscus mendiculus
spbtyr1,Pogonotriccus orbitalis
levspa1,Tachyspiza brevipes
yefsis1,Spinus yarrellii
nomwea1,Ploceus taeniopterus
scbflo1,Dicaeum cruentatum
tanmaw1,Ploceus reichardi
barpet1,Pterodroma baraui
whbher1,Phaethornis hispidus
gobbun1,Emberiza flaviventris
whwgua1,Penelope albipennis
blcsal1,Saltator nigriceps
fabthr1,Zoothera machiki
ortsun1,Heliangelus mavors
bltant3,Frederickena viridis
shifly1,Myiagra alecto
buhmac1,Primolius couloni
aupowl1,Glaucidium nana
stiwre1,Traversia lyalli
blakit1,Milvus migrans
rutfog1,Anabacerthia ruficaudata
tuffly,Mitrephanes phaeocercus
picmun1,Heteromunia pectoralis
ocewoo1,Xiphorhynchus ocellatus
hiseme1,Riccordia swainsonii
javfla1,Chrysocolaptes strictus
orisof1,Thripophaga cherriei
olithr2,Turdus olivaceus
sulcus2,Edolisoma morio
hootre1,Crypsirina cucullata
buhvir,Vireo solitarius
cobpuf1,Eriocnemis cupreoventris
bltlau1,Pterorhinus chinensis
tigshr1,Lanius tigrinus
whnroc1,Picathartes gymnocephalus
milsto1,Mycteria cinerea
chotap1,Scytalopus chocoensis
rucsun2,Chalcoparia singalensis
olcwar1,Setophaga pityophila
golcou1,Centropus goliath
spothr1,Modulatrix stictigula
galmoc1,Mimus parvulus
blcbab2,Cyanoderma pyrrhops
scacha1,Argya aylmeri
yewcac1,Cassiculus melanicterus
maukes1,Falco punctatus
blbbar3,Lybius guifsobalito
pucfrd1,Ptilinopus ponapensis
inwpar1,Hapalopsittaca fuertesi
soupoc1,Netta erythrophthalma
negeag1,Harpyopsis novaeguineae
varthr,Ixoreus naevius
blfmun1,Lonchura molucca
shbmin2,Pericrocotus brevirostris
afywar1,Iduna natalensis
baerai1,Gymnocrex plumbeiventris
bltfan1,Rhipidura maculipectus
rbptan1,Lamprospiza melanoleuca
combul1,Hypsipetes parvirostris
bawrai1,Gallirallus poecilopterus
sntkin1,Tyrannus niveigularis
malnig1,Lyncornis temminckii
chibla1,Turdus mandarinus
mawtyr1,Fluvicola nengeta
amasta1,Myrmotherula multostriata
lytnig1,Uropsalis lyra
indnig1,Caprimulgus asiaticus
mayswi1,Aerodramus orientalis
ruccoq1,Lophornis delattrei
metsta1,Aplonis metallica
brcfly1,Myiophobus fasciatus
epaori4,Icterus pyrrhopterus
rurcha1,Cossypha semirufa
smohon1,Melipotes fumigatus
blbtan3,Tangara cyanotis
robcha1,Granatellus pelzelni
ptmgem,Lampornis calolaemus
tibsan1,Syrrhaptes tibetanus
iqugna1,Polioptila clementsi
sitspi1,Synallaxis subpudica
equaka1,Sheppardia aequatorialis
wanalb1,Diomedea exulans
palwar,Setophaga palmarum
souemt1,Aulacorhynchus albivitta
santer1,Thalasseus sandvicensis
golcus1,Campochaera sloetii
litgra1,Poodytes gramineus
eywbab1,Napothera epilepidota
faswre1,Campylorhynchus fasciatus
ligtyr1,Syrtidicola fluviatilis
spcant1,Dysithamnus puncticeps
eurkes1,Falco rupicolus
scllar1,Spizocorys sclateri
grshon1,Myza sarasinorum
menwar1,Curruca mystacea
litgre1,Tachybaptus ruficollis
tsiwor1,Mentocrex beankaensis
slathr3,Turdus subalaris
latant1,Mackenziaena leachii
pitsni,Gallinago stenura
yebbul2,Alophoixus phaeocephalus
mleowl1,Asio madagascariensis
rebmal2,Zanclostomus javanicus
hareag1,Harpia harpyja
rufowl1,Scotopelia ussheri
litwoo5,Chaetocercus bombus
wincis5,Cisticola luapula
crfgle1,Philydor pyrrhodes
oristo1,Ciconia boyciana
grnlon1,Urolais epichlorus
blnswa2,Cygnus melancoryphus
livbul1,Pycnonotus sinensis
pabtre1,Cichlocolaptes leucophrus
gagtan2,Tangara schrankii
macwar,Geothlypis tolmiei
yefpar4,Poicephalus flavifrons
whecat1,Ailuroedus buccoides
yebwhi1,Pachycephala philippinensis
russpa1,Aimophila rufescens
grrswi1,Chaetura cinereiventris
afrsni1,Gallinago nigripennis
dhbfin1,Atlapetes fuscoolivaceus
licpar,Amazona finschi
grbspa1,Arremonops chloronotus
sttant3,Sipia berlepschi
whbcus1,Coracina papuensis
formag1,Urocissa caerulea
wonsto2,Ciconia microscelis
swbhum1,Ensifera ensifera
rudcra1,Laterallus ruber
rethaw,Buteo jamaicensis
whbsee1,Sporophila leucoptera
arcwar2,Phylloscopus examinandus
litcuc2,Coccycua minuta
sersco1,Otus thilohoffmanni
crebul1,Pycnonotus pseudosimplex
faiter2,Sternula nereis
duspar1,Pionus fuscus
ccfgle2,Automolus rufipileatus
colinc1,Coeligena torquata
alomyz1,Myzomela prawiradilagae
whttre3,Cormobates leucophaea
blbbab1,Malacocincla perspicillata
whrfly,Conopias albovittatus
malpas1,Cypsiurus gracilis
stonec4,Saxicola rubicola
turpar1,Neophema pulchella
flocro1,Corvus florensis
soogra2,Asemospiza fuliginosa
altsno1,Tetraogallus altaicus
dobant2,Hylophylax punctulatus
brotho1,Acanthiza pusilla
grywre1,Cantorchilus griseus
whemon1,Carterornis leucotis
trumon1,Metabolus rugensis
dusmun1,Lonchura fuscans
bbwqua1,Odontophorus leucolaemus
eskcur,Numenius borealis
thrnig1,Luscinia luscinia
whhwre1,Campylorhynchus albobrunneus
